Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
BL,12078,METALIM,27
BL,12096,POLTIGLIA DISPERSS,60
BL,12170,HELIOCUIVRE,10
BL,12323,VEBIZOLFO WG,5
BL,12381,NU-FILM-P,6
BL,12437,DELAN 70 WG,120
BL,12482,LUMAX,50
BL,12534,FOXTAIL,1.25
BL,12590,DIASTAR MAXI,160
BL,12671,HARMONY 50 SX,0.5
BL,12738,KING 360 HP,43
BL,12748,GRIFON PIU',20
BL,12756,DICOTEX,1
BL,12759,OSSICLOR 35 WG,18
BL,12862,CANTUS,1
BL,12940,KARATE ZEON 1.5,2.5
BL,13012,FOLVIT 80 WDG,52
BL,13098,ROUNDUP POWER 2.0,20
BL,13149,POLTIGLIA MANICA 20 WG,15
BL,13150,CURAME 25 WG,9
BL,13158,REMEDIER,2
BL,13168,LAUDIS,1
BL,13213,R6 ERRESEI ALBIS,7
BL,13242,NICOGAN V.O.,8
BL,13244,ZOLFO VENTILATO STELLA,5
BL,13252,PLAYER 250 SC,1
BL,13253,PLAYER SC,19
BL,13327,GRANSTAR ULTRA SX,0.25
BL,13382,PERGADO SC,15
BL,13389,AFFIRM,7
BL,13466,SPOTLIGHT PLUS,5
BL,13716,CAPTAN ARVESTA 80 WG,100
BL,13771,NIMROD 250 EW,12
BL,13809,FORCE ULTRA,5670
BL,13838,XEDAVIR,0.25
BL,13888,FANTIC F NC WG,5
BL,13981,CORAGEN,5
BL,14058,FEINZIN 70 DF,32
BL,14154,PIRETRO ACTIGREEN,31
BL,14165,NANDO MAXI,122
BL,14262,GREENEX NF,1
BL,14390,BOOM EFEKT,60
BL,14407,RUNWAY,5
BL,14479,SCHERMO 0.5 G,15
BL,14636,BIOLID UP,13.8
BL,14642,RIDOMIL GOLD R WG,47
BL,14737,ROUNDUP PLATINUM,184
BL,14812,ENERVIN TOP,5
BL,14879,LONTREL 72 SG,0.3
BL,14891,TRICO,31
BL,15013,NATRIA LUMACHICIDA,238
BL,15013,NATRIA LUMACHICIDA 1kg,28
BL,15013,NATRIA LUMACHICIDA 500g,20
BL,15023,DERREX,20
BL,15058,PRINCIPAL MAIS,16.72
BL,15059,DECIS EVO,13
BL,15096,GLIPHOGAN TOP CL,39.5
BL,15142,ALCANCE SYNC TEC,225
BL,15149,COSAVET DF EDGE,25
BL,15201,FLOXY 400 SC,2
BL,15213,DEMETRINA FLOW,0.85
BL,15233,DALET TRIO,17
BL,15253,FALCON MK,42
BL,15263,DYNALI,4
BL,15264,ENERVIN SC,24
BL,15265,PROMAN FLOW,41
BL,15317,SESTO GOLD,4
BL,15326,CUPROTEK DISPERSS,30
BL,15331,ZEFIR 25 WDG,1
BL,15363,MEDEIRO 80 WG ADVANCE,4
BL,15401,TAIFUN MK CL,130
BL,15449,CIDELY,7
BL,15505,SILBOT 500 SC,2
BL,15514,CUPRAVIT BLU 35 WG,8
BL,15543,LUMACHICIDA FER PFNPE,450.5
BL,15553,REGALIS PLUS,15
BL,15612,SEMPRA,0.45
BL,15635,ADENGO XTRA,344.5
BL,15712,SATELITE,610
BL,15901,ERCOLE,301
BL,15930,TOMIRIS 125 EW,4
BL,15990,SCIROCCO 125 EW,1
BL,16055,KENPYR,1.2
BL,16197,COPPERFIELD 17 WG,90
BL,16273,SIVANTO PRIME,10
BL,16315,RADAR HP,8.15
BL,16325,EPIK SL,66.5
BL,16335,LIETO SC,62
BL,16379,PREV-AM PLUS,23
BL,16381,CALLICORE,45
BL,16403,CAPITAL SH,25
BL,16416,FENOTRIX 300 SC,1
BL,16422,SPIROSTAR,5
BL,16425,LASER 120 SC,2
BL,16474,MATSUDA 25 WG,1
BL,16480,3LOGY,24
BL,16481,CALLISTO 480,57.6
BL,16509,IBISCO,2
BL,16562,DELAN PRO,10
BL,16565,EXECUTIVE GOLD,0.2
BL,16596,SANIUM SL25 PFNPE,1.38
BL,16598,SANIUM AL PFNPE,72.8
BL,16599,SANIUM AL PFnPO,0.16
BL,16609,SAVIAL FORTE,30
BL,16618,COLZA POWER PFNPE,7.83
BL,16630,NATUREN LIMEX PFNPE,1255.5
BL,16663,ACTLET F,30
BL,16667,REVOLUTION,2
BL,16690,KESTREL,6
BL,16774,ISOMATE C LR MAX TT,6
BL,16790,NORDOX ENERGY,5
BL,16792,PROFILE PLUS,6
BL,16831,GLIFENE BIOGRADE,60
BL,16886,CLOSER,9
BL,16915,ALEAVI PFnPO,2.4
BL,16945,SERCADIS,12.4
BL,16946,DARAMUN,13
BL,16957,ZORVEC VINABRIA,9
BL,17038,TUAREG NEW,227
