"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
PD;9041;TIOFLOW 57;20,00
PD;9061;;129,00
PD;9061;PANTOPUR MC;122,00
PD;9126;CONCORDE COMBI PFnPE;70,00
PD;9148;SYLLIT 400 SC;3,00
PD;9210;QUADRIS;152,00
PD;9244;;690,00
PD;9244;ZIRAMIT 76 WG;635,00
PD;9267;ROYALTAC N;100,00
PD;9286;;5,00
PD;9286;OHAYO;1,00
PD;9298;;150,00
PD;9306;;4,00
PD;9306;PROPLANT;1,00
PD;9318;FANDANGO 360;1.715,00
PD;9342;;26,50
PD;9342;DELTRIN;5,00
PD;9342;DELTRIN PFnPE;117,50
PD;9371;;0,36
PD;9373;;1,00
PD;9373;CHORUS;29,00
PD;9410;;23,00
PD;9411;RADIP ORMON PFnPE;14,20
PD;9420;OSSIRAM 70 FLOW;5,00
PD;9422;;207,00
PD;9422;EVADE;741,50
PD;9422;EVADE 1 L;21,00
PD;9448;RIFLE 3-18 R BLU;34,00
PD;9449;EMERALD COMBI;57,00
PD;9449;EMERALD COMBI PFnPE;26,50
PD;9509;;2,50
PD;9509;PROMALIN NT;2,50
PD;9531;SEQURA WG;6,00
PD;9569;ZETARAM 3B FL;91,00
PD;9575;;43,00
PD;9575;DRIBBLING 240 EC;49,00
PD;9578;;391,50
PD;9578;SWITCH;695,55
PD;9612;OSSICLOR 30;271,00
PD;9631;;52,00
PD;9631;METRIN EC;169,00
PD;9634;;322,00
PD;9634;CARNIVAL RIO;441,00
PD;9668;;4,00
PD;9668;RUFAST E-FLO;57,60
PD;9678;;10,00
PD;9678;M70 DF;100,00
PD;9679;;41,00
PD;9679;KRISTAL 32 WG;330,00
PD;9694;;4,00
PD;9705;;62,00
PD;9705;PREVITER;69,40
PD;9723;;1.430,00
PD;9723;DE-SPROUT N;140,00
PD;9724;;1.975,00
PD;9724;TIOWETTING DF;4.118,00
PD;9724;TIOWETTING DF PFnPE;7,00
PD;9744;;25,00
PD;9744;SCORE 10 WG;5,00
PD;9757;;403,00
PD;9757;SPYRALE;250,00
PD;9787;MICROBAGNABILE WG;165,00
PD;9790;;600,00
PD;9790;CONTATTO 320;113,00
PD;9800;;124,50
PD;9800;MAVRIK;4,00
PD;9800;MAVRIK 20 EW;7,40
PD;9800;MAVRIK SMART;210,15
PD;9802;COPREN HI BIO;1,00
PD;9809;;10,00
PD;9809;MALVIN 80 WG;1,00
PD;9813;DICLOPYR;13,00
PD;9843;;234,00
PD;9843;BASAGRAN SG;906,00
PD;9867;4 STAGIONI;0,75
PD;9872;;235,00
PD;9872;AKRIS;170,00
PD;9905;;30,00
PD;9905;THIOCUR 20 EW;52,00
PD;9954;;984,00
PD;9954;JOKER;4.557,00
PD;10029;KING PFnPE;4,20
PD;10048;;200,00
PD;10048;KUMULUS TECNO;1.875,00
PD;10057;ARPEL WDG;6,00
PD;10105;;1,25
PD;10105;RIDOMIL GOLD SL;11,00
PD;10109;APRON XL;60,00
PD;10117;;1.813,00
PD;10117;STRATOS ULTRA;1.422,00
PD;10118;;331,00
PD;10118;AMISTAR;40,40
PD;10119;EQUATION PRO;0,40
PD;10161;;109,00
PD;10161;ORTIVA;129,85
PD;10175;SPORAMIL R FLOW;145,00
PD;10209;;13,00
PD;10220;;17,00
PD;10220;DICOPUR COMBI;14,00
PD;10224;;140,00
PD;10224;EMME-H;70,00
PD;10226;NOXIS M;376,00
PD;10230;LUMAPLUS;657,50
PD;10230;LUMAPLUS PFnPE;146,00
PD;10296;;674,00
PD;10305;;4,00
PD;10305;OIKOS;117,35
PD;10305;OIKOS PFnPE;10,26
PD;10306;MISTRAL;94,00
PD;10329;;40,00
PD;10329;FORUM MZ WG;430,00
PD;10350;;609,00
PD;10350;BLAST SG;240,00
PD;10357;;15,00
PD;10357;RIGRON SG;264,00
PD;10381;;17,25
PD;10381;CONCORDE 40 EW;1,00
PD;10381;CONCORDE 40 EW PFnPE;22,63
PD;10381;CONCORDE 40 EW PFnPE 25 ml;0,85
PD;10381;CONCORDE 40 EW PFnPE 250 ml;6,00
PD;10415;;111,00
PD;10415;ARIC 480 L.S.;165,00
PD;10423;;657,00
