"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;15142;ALCANCE SYNC TEC;190,00
BL;15213;DEMETRINA FLOW;5,27
BL;15213;DEMETRINA FLOW PFnPE;4,33
BL;15235;MOMENTUM;4,00
BL;15289;SERENADE NATRIA PFnPE;1,40
BL;15291;TURFENE PLUS;3,00
BL;15291;TURFENE PLUS PFnPE;2,70
BL;15302;AMYLO-X;1,00
BL;15326;CUPROTEK DISPERSS;40,00
BL;15401;TAIFUN MK CL;181,00
BL;15401;TAIFUN MK CL PFnPE;119,00
BL;15405;SHAMAL MK PLUS CL;61,50
BL;15405;SHAMAL MK PLUS CL PFnPE;228,50
BL;15449;CIDELY;1,00
BL;15455;TELDOR PLUS ORTO PFnPE;0,20
BL;15514;CUPRAVIT BLU 35 WG;70,00
BL;15514;CUPRAVIT BLU 35 WG PFnPE;114,70
BL;15612;SEMPRA;0,45
BL;15621;BOTTO 50 EC;0,35
