Prodotti fitosanitari venduti nell'anno 2016 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2016, art. 16 D.Lgs. 150/2012).;;;;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;
PD;2249;MALERBANE PRATI 400;43,00;;
PD;2249;MALERBANE PRATI x 1 lt;2,00;;
PD;2259;PASTA LUMACHICIDA IN GRANI;237,00;;
PD;2259;PASTA LUMACHICIDA IN GRANI 500 GR;52,00;;
PD;2260;GASTROTOX E;219,00;;
PD;2272;SILLIM;32,50;;
PD;2307;VECTOR x 1 lt;1.437,00;;
PD;2307;VECTOR x 5 lt;1.195,00;;
PD;2307;VECTOR;950,00;;
PD;2307;VECTOR x 20 lt;360,00;;
PD;2340;STOMP 330-E;61,00;;
PD;2353;BONALAN;393,00;;
PD;2353;BONALAN x 1 lt;79,00;;
PD;2353;BONALAN x 1;31,00;;
PD;2353;BONALAN x 3  (+ KERB FLO X 1,5);21,00;;
PD;2368;PRATI SPECIAL;0,75;;
PD;2518;ACTELLIC 2P;7,60;;
PD;2518;ACTELLIC 2P 200 GR;0,40;;
PD;2520;ACTELLIC;3,00;;
PD;2520;ACTELLIC 50 x 1 lt (n.reg.02520);3,00;;
PD;2603;ESCACIDE;12,00;;
PD;2634;BUGGY;4.033,00;;
PD;2732;GOLTIX x 1 kg (70%);1.326,00;;
PD;2732;GOLTIX;1.089,00;;
PD;2732;GOLTIX x 5 kg (70%);730,00;;
PD;2923;TIOVIT JET;44.813,00;;
PD;2923;TIOVIT JET GD x 25 kg;10.475,00;;
PD;2923;TIOVIT JET GD x 10 kg;3.901,00;;
PD;2923;TIOVIT JET GD x 1 kg;333,00;;
PD;2923;TIOVIT JET X 25;100,00;;
PD;2923;TIOVIT JET (KG);100,00;;
PD;2923;TIOVIT JET X 10;30,00;;
PD;2934;MICROSOL 90;167,00;;
PD;2995;ESCARTOX;3.202,30;;
PD;2995;ZAPI LUMACHICIDA ORTO ESCARTOX KG 1;359,00;;
PD;2995;ESCARTOX META;62,50;;
PD;2995;ESCATOX;28,00;;
PD;2995;ZAPI LUMACHICIDA META KG.5 (al kg.);25,00;;
PD;2995;ZAPI LUMACHICIDA ORTO ESCARTOX GR50;12,00;;
PD;2995;ESCARTOX LUMACHICIDA X KG.1;11,00;;
PD;3065;OLIOCIN;503,25;;
PD;3065;BAYER OLIOCIN LT 1;36,00;;
PD;3065;OLIOCIN 1 LT;24,00;;
PD;3065;BAYER OLIOCIN EW 250 ML;3,90;;
PD;3082;OLEOTER ESTATE X LT.1;9,00;;
PD;3102;OLEOTER;336,00;;
PD;3102;OLEOTER 1 LT;47,00;;
PD;3102;OLEOTER ML 1000;4,00;;
PD;3132;SEPR-OIL;38,75;;
PD;3141;CUTHIOL;132,00;;
PD;3163;U 46 M STAR;74,00;;
PD;3219;KOL CARAKOL AGRO KG.1;1.100,00;;
PD;3219;CARAKOL AGRO;444,50;;
PD;3219;CARAKOL AGRO KG.1 LUMACHICIDA;2,00;;
PD;3313;ARAGOL L 40 ST;102,00;;
PD;3313;ARAGOL L40;99,00;;
PD;3343;U46 M CLASS;67,00;;
PD;3343;U 46 M CLASS;59,00;;
PD;3343;U 46 M CLASS x 1 lt;5,00;;
PD;3412;SYLLIT 65;69,00;;
PD;3468;DACOL L 40 ST;661,00;;
PD;3503;AGRUMIN;472,00;;
PD;3519;METAMBANE;76,00;;
PD;3553;CURZATE;1,00;;
PD;3555;CURZATE M;11,00;;
PD;3640;CUPROSTAR;1.294,00;;
PD;3640;CUPROSTAR X LT.10;440,00;;
PD;3640;CUPROSTAR x 10 Lt;350,00;;
PD;3640;CUPROSTAR X LT.1;105,00;;
PD;3658;SIPCAMOL E;375,25;;
PD;3658;SIPCAMOL E 1 LT;5,00;;
PD;3754;BAGNANTE SARIAF;384,00;;
PD;3754;BAGNANTE SARIAF X LT.1;10,00;;
PD;3767;FENOXILENE MAX;974,00;;
PD;3771;ROVRAL WG;63,00;;
PD;3771;ROVRAL WG x 1 kg;8,00;;
PD;3793;DITHANE M-45;200,00;;
PD;3800;CRITTAM WG;240,00;;
PD;3800;CRITTAM WG x 5 kg;150,00;;
