Provincia,"N. Reg.","Prodotto fitosanitario venduto*","Quantità(Kg o litri)"
VR,7961,,21.00
VR,7961,RIZOLEX  GOLD,963.00
VR,7983,ZODIAC DFF,95.00
VR,8023,,758.00
VR,8023,SUMIALFA ECHO,22.00
VR,8102,,9746.00
VR,8102,MERPAN 80 WDG,5358.00
VR,8139,,144.00
VR,8146,,119.00
VR,8146,GALLERY,433.50
VR,8157,ZETARAM 20 L,10.00
VR,8184,,1085.00
VR,8184,CHALLENGE,2911.00
VR,8189,,9640.00
VR,8229,,805.00
VR,8229,BOLAS SC,148.00
VR,8259,,923.00
VR,8259,LAMDEX EXTRA,1879.00
VR,8320,,117.00
VR,8320,DELFIN,243.00
VR,8376,,330.00
VR,8376,ARIANE II,326.00
VR,8498,,206.50
VR,8498,FOLICUR WG,512.50
VR,8542,,1110.00
VR,8542,FORUM 50 WP,1650.00
VR,8546,,149.00
VR,8546,DANITRON,174.00
VR,8558,PIRETRO VERDE,203.20
VR,8558,PIRETRO VERDE PFnPE,2.00
VR,8599,,404.00
VR,8599,GOLD BEET,20.00
VR,8601,,23680.00
VR,8601,FOLPAN 80 WDG,59075.00
VR,8617,BANVEL 480 S,191.00
VR,8656,GLIFENE HP,11955.00
VR,8706,,404.00
VR,8706,AMID THIN W,467.00
VR,8712,,91.00
VR,8712,ALLEGANTE 4% AF 96,133.40
VR,8715,,20.00
VR,8715,DIRAMID,257.00
VR,8717,,12.00
VR,8721,,10.00
VR,8721,NEXTER,4.00
VR,8735,,4536.50
VR,8735,TREBON UP,4293.00
VR,8755,,0.12
VR,8795,,1274.25
VR,8795,VERTIMEC EC,2206.50
VR,8801,,50.25
VR,8801,SCORE 25 EC,518.25
VR,8836,,921.00
VR,8836,MIMIC,1166.00
VR,8837,GERMON BEWURZELUNGSPUDER PER TALEE ,4.50
VR,8838,GERMON BEWURZELUNGSPUDER PER TALEE ,0.50
VR,8874,,39.00
VR,8874,ETOFUM - FL,81.00
VR,8882,ULTRA FINE OIL,120.00
VR,8882,ULTRA FINE OIL PLUS,4.00
VR,8886,,1.92
VR,8886,SAFARI,9.80
VR,8899,ZOLFO VENTILATO RAMATO 5%,5275.00
VR,8929,,82.50
VR,8929,TOPIK 240 EC,2.50
VR,8934,,153.00
VR,8934,SCALA,1474.00
VR,8937,,24.00
VR,8937,SHIRUDO,112.00
VR,9005,,15.00
VR,9005,AGIL,5114.00
VR,9010,RAMEZIN COMBI WG,320.00
VR,9012,,2180.00
VR,9012,CUPROCAFFARO MICRO,6970.00
VR,9041,,108240.00
VR,9061,PANTOPUR MC,416.00
VR,9086,POLTIGLIA BORDOLESE SCAM DF,7.50
VR,9148,SYLLIT 400 SC,3.00
VR,9210,,30.00
VR,9210,QUADRIS,523.00
VR,9244,,8660.00
VR,9244,ZIRAMIT 76 WG,3180.00
VR,9267,ROYALTAC N,67480.00
VR,9280,,14.00
VR,9280,TOPAS 200 EW,6.25
VR,9286,,27.00
VR,9286,OHAYO,1147.00
VR,9298,,2050.00
VR,9298,METHAM NA 51,6025.00
VR,9306,PROPLANT,65.00
VR,9342,DELTRIN,19.00
VR,9371,PEAK,0.24
VR,9373,,109.00
VR,9373,CHORUS,78.00
VR,9411,RADIP ORMON,1.10
VR,9420,OSSIRAM 70 FLOW,105.00
VR,9422,,495.00
VR,9422,EVADE,862.85
VR,9449,EMERALD COMBI,1.00
VR,9509,,11.00
VR,9509,PROMALIN NT,38.00
VR,9531,,122.00
VR,9569,,190.00
VR,9569,ZETARAM 3B FL,440.00
VR,9575,DRIBBLING 240 EC,75.00
VR,9578,,4749.00
VR,9578,SWITCH,5622.00
VR,9597,,34.50
VR,9612,OSSICLOR 30,80.00
VR,9627,SOLUTION 20 DISPERSS,3020.00
VR,9631,METRIN EC,150.00
VR,9655,PRIMIAL WG,57.00
VR,9679,,227.00
VR,9679,KRISTAL 32 WG,376.00
VR,9695,,121.50
VR,9695,PERLAN,188.50
VR,9696,NOVAGIB,12.00
VR,9705,,676.00
VR,9705,PREVITER,1349.00
VR,9723,,7590.00
VR,9723,DE-SPROUT N,38940.00
VR,9724,TIOWETTING DF,32634.00
VR,9742,METAMIX R LIQUIDO,435.00
VR,9744,,1120.00
VR,9744,SCORE 10 WG,374.00
VR,9757,,110.00
VR,9757,SPYRALE,192.00
VR,9787,MICROBAGNABILE WG,243.00
VR,9790,,76.00
VR,9790,CONTATTO 320,21.00
VR,9798,CLIOPHAR 100,1.00
VR,9800,,1174.30
VR,9800,MAVRIK SMART,3538.25
VR,9809,,6015.00
VR,9809,MALVIN 80 WG,4714.00
VR,9843,,1056.00
VR,9843,BASAGRAN SG,2427.00
VR,9872,AKRIS,1515.00
VR,9954,,410.00
VR,9954,JOKER,1243.00
VR,10004,AGRIMIX PRO,31.50
VR,10048,,500.00
VR,10048,KUMULUS TECNO,12825.00
VR,10088,,0.20
VR,10088,MAXIM,0.10
VR,10105,,29.75
VR,10105,RIDOMIL GOLD SL,138.75
VR,10109,APRON XL,5.00
VR,10117,,4292.00
VR,10117,STRATOS ULTRA,8165.00
VR,10118,,253.00
VR,10118,AMISTAR,48.00
VR,10142,,200.00
VR,10142,VERNOIL,20.00
VR,10154,,17.00
VR,10158,PIREFLOR,227.00
VR,10161,,793.00
VR,10161,ORTIVA,1196.00
VR,10199,LERAM HI BIO,130.00
VR,10220,,2.00
VR,10220,DICOPUR COMBI,16.00
VR,10224,,2970.00
VR,10224,EMME-H,11110.00
VR,10226,NOXIS M,10.00
VR,10263,DRIVER,7.00
VR,10296,,1320.00
VR,10296,IPERION,52.00
VR,10305,,513.00
VR,10305,OIKOS,1249.30
VR,10306,MISTRAL,731.00
VR,10324,,420.00
VR,10324,NEMATHORIN 10 G,180.00
VR,10338,,4000.00
VR,10350,,66.00
VR,10350,BLAST SG,453.00
VR,10357,RIGRON SG,92.00
VR,10368,TRISCABOL 76 WG,25.00
VR,10381,,2229.00
VR,10415,,2.00
VR,10415,ARIC 480 LS,33.50
VR,10425,SCUDEX,142.00
VR,10439,,1182.00
VR,10439,SPRAY DUNGER GLOBAL,552.00
VR,10440,EXPANDER,212.00
VR,10461,DICOTURF,3.00
VR,10474,TERDIM,390.00
VR,10477,,8.00
VR,10479,,321.00
VR,10479,NATURALIS,793.00
VR,10506,LALSTOP K61 WP,4.90
VR,10509,,80.00
VR,10543,,24.00
VR,10543,POLYKRON GLOBAL,30.00
VR,10573,,4480.00
VR,10573,KOCIDE 2000,4339.00
VR,10577,,507.00
VR,10577,METRIPHAR 70 WG,267.40
VR,10585,,745.00
VR,10585,SULCOTREK,2430.00
VR,10588,,1433.00
VR,10588,BIOPIREN PLUS,151.00
VR,10604,,520.00
VR,10604,EMERALD 40 EW,621.25
VR,10604,EMERALD 40 EW PFnPE,2.00
VR,10627,FRUPICA,5.00
VR,10632,,150.00
VR,10632,COBRE NORDOX SUPER 75 WG,1264.00
VR,10647,DINAPIC,155.00
VR,10701,,380.00
VR,10701,CUMETA FLOW,3843.50
VR,10710,,3.00
VR,10734,,2369.00
VR,10734,DUAL GOLD,1496.00
VR,10735,,15.00
VR,10735,PRIMAGRAM GOLD,2108.00
VR,10741,,11.00
VR,10741,METACINQUE,2211.00
VR,10771,,2397.00
VR,10771,MOST MICRO,12679.00
VR,10816,PIRETRO GARDEN PFnPO,5.00
VR,10889,AGRIMIX GOLD,30.00
VR,10890,,630.00
VR,10890,FLiPPER,3127.45
VR,10890,FLiPPER PFnPE,7.30
VR,10925,,4.00
VR,10925,BEYOND,35.00
VR,10926,,136.00
VR,10926,ALTOREX,213.00
VR,10929,,23.00
VR,10929,CHIKARA 25 WG,50.25
VR,10944,,469.25
VR,10944,KARATE ZEON,618.75
VR,10948,VITISAN WG,1144.50
VR,10952,CARPOVIRUSINE PLUS,7.00
VR,10976,,310.25
VR,10976,METEOR,831.62
VR,10999,,74.00
VR,10999,BETANAL SE,100.00
VR,11011,,810.00
VR,11011,DASH HC,1745.00
VR,11040,POLTIGLIA BORDOLESE DISPERSS BLU,480.00
VR,11045,DODIPREV 400 SC,10.00
VR,11059,,113.00
VR,11059,BIOPOWER,234.00
VR,11062,,135.00
VR,11062,BION 50 WG,59.05
VR,11070,,294100.00
VR,11088,,176.00
VR,11088,BION MX,554.00
VR,11102,,2280.00
VR,11102,HELIOSOUFRE S,6837.00
VR,11107,,31.20
VR,11107,ECO-TRAP,108.22
VR,11119,,181.00
VR,11119,FLINT,382.65
VR,11133,,249.50
VR,11133,SHELTER,570.00
VR,11150,,23425.00
VR,11150,ALL SEASONS,6525.00
VR,11165,,24.00
VR,11165,POLAK,58.00
VR,11183,,7.50
VR,11183,PROGERBALIN LG,275.50
VR,11185,,112.00
VR,11185,GERLAGIB LG,496.00
VR,11196,,390.00
VR,11196,SULFAR,1970.00
VR,11197,,245.00
VR,11197,VITENE 45 WG,467.00
VR,11206,,730.00
VR,11206,CODACIDE,4737.50
VR,11231,MICOSPOR 80 WDG,24.00
VR,11243,,237.00
VR,11243,LEOPARD 5 EC,4798.00
VR,11252,LALSTOP Contans WG,52.00
VR,11253,,2.00
VR,11253,CALLISTO,104.00
VR,11255,,539.00
VR,11257,,690.00
VR,11257,COSTAR WG,394.50
VR,11258,,445.00
VR,11258,FAZOR STAR,1975.00
VR,11303,,1290.00
VR,11303,CHAMP DP,3670.00
VR,11341,,219.00
VR,11341,STARANE GOLD,1284.00
VR,11353,,2445.00
VR,11353,FUSILADE MAX,5066.00
VR,11355,TAMIFUM,52680.00
VR,11359,SARCAP 800,579.00
VR,11379,,840.00
VR,11379,ROYAL MH STAR - TAB,6165.00
VR,11393,,98.00
VR,11393,BEETLE,414.00
VR,11402,,835.00
VR,11416,,1465.00
VR,11416,OVIPRON TOP,515.00
VR,11448,,40.00
VR,11448,KICKER,32.00
VR,11449,,16164.00
VR,11449,GARDOPRIM GOLD,220.00
VR,11479,,163.00
VR,11479,BRANCHER DIRADO,204.00
VR,11497,,102.00
VR,11497,CRITTOVIT WG,6429.00
VR,11501,PARIFOL,679.00
VR,11505,,14.00
VR,11505,READY GERMIPLUS,364.00
VR,11513,EXILIS,20.00
VR,11525,FUNGIDINA 400 SC,215.00
VR,11526,,368.00
VR,11526,SULTAN,1092.00
VR,11548,,26.98
VR,11548,ISONET L TT,20.81
VR,11549,,71.00
VR,11549,ISOMATE OFM ROSSO FLEX,402.56
VR,11551,,8.50
VR,11551,ISOMATE C PLUS,4202.74
VR,11552,,19.00
VR,11552,ISOMATE C TT,8700.16
VR,11555,RAK 5,2.69
VR,11561,,514.00
VR,11561,NEEMAZAL T/S,1141.21
VR,11569,,1454.00
VR,11569,CUPROXAT SDI,2644.00
VR,11611,,23710.00
VR,11611,VYDATE 10L,38320.00
VR,11619,TIOFLOR WDG,15467.00
VR,11637,,75.00
VR,11642,PIKAR,3.00
VR,11648,AZACTIVA,0.35
VR,11649,,161.00
VR,11649,COMMAND 36 CS,122.40
VR,11654,,8.00
VR,11660,SHOGUN,10.00
VR,11678,,11.00
VR,11678,ACTELLIC 2/P NEWPHARM,10.00
VR,11679,GIBERAL COMPRESSE,0.47
VR,11687,,14.50
VR,11690,,14.00
VR,11690,GOAL 480 SC,1.00
VR,11693,,444.75
VR,11693,LASER,1016.55
VR,11701,BOTANIGARD OD,108.00
VR,11760,,23300.00
VR,11760,POLITHIOL,19280.00
VR,11762,FORUM STAR,185.00
VR,11767,BIG MAIS,35.00
VR,11779,,40.00
VR,11779,KOP-TWIN,811.00
VR,11786,,2.16
VR,11786,AQ 10 WG,13.19
VR,11793,,65.00
VR,11793,XENTARI WG,460.00
VR,11794,,9.75
VR,11802,,140.00
VR,11806,KARIKA,3.00
VR,11857,MIDAURIL COMBI,2855.00
VR,11862,,78.00
VR,11862,LOBBY,400.00
VR,11908,VENTUREX 400 SC,5.00
VR,11926,NOIDIO GOLD 10 EC,4.00
VR,11944,,102.50
VR,11944,ASPECT,1790.00
VR,11948,,20.00
VR,11964,,990.00
VR,11964,POLTIGLIA CAFFARO 20 GD,1450.00
VR,11979,BORDO 20 MICRO,1.50
VR,11991,,43.00
VR,11991,NEEMIK TEN,1313.00
VR,11999,,34680.00
VR,11999,BUSSOLA WG NC,1820.00
VR,12010,,9.00
VR,12010,TUAREG,4.00
VR,12020,SUCCESS,0.06
VR,12023,,1635.00
VR,12037,,250.00
VR,12037,CAMIX,1875.00
VR,12041,,663.00
VR,12041,MARTOS,54.00
VR,12043,,618.00
VR,12043,PREVICUR ENERGY,1170.00
VR,12048,TIOSOL 80 WG,7607.00
VR,12048,TIOSOL 80 WG PFnPE,400.00
VR,12066,FLORBAC WG,1.50
VR,12067,,9.00
VR,12068,TEFLUSTAR,790.00
VR,12079,QUIVER-TOP,320.00
VR,12090,,3860.00
VR,12090,MICROSED GEO,3150.00
VR,12096,,61060.00
VR,12096,POLTIGLIA DISPERSS,60910.00
VR,12100,ASSET DUO,497.00
VR,12106,,92.00
VR,12106,TALENDO,82.00
VR,12113,VIRGO,12.00
VR,12114,,348.00
VR,12114,AUXIGER LG,1267.50
VR,12115,BARRACUDA,2.00
VR,12133,,93.00
VR,12133,JUVINAL GOLD,353.00
VR,12149,,36.00
VR,12149,GERBA 4 LG,376.00
VR,12156,MAKE UP 80 WDG,189.00
VR,12170,,1680.00
VR,12170,HELIOCUIVRE,1000.00
VR,12172,FERRAMOL,115.50
VR,12172,FERRAMOL PFnPE,388.50
VR,12203,,2.45
VR,12203,TOOLER,41.65
VR,12225,,107.56
VR,12225,TEPPEKI,700.73
VR,12233,KAPLAN,6855.00
VR,12285,FORUM GOLD,1735.00
VR,12306,,2.00
VR,12319,,33.00
VR,12323,VEBIZOLFO WG,1.00
VR,12361,,14.00
VR,12361,ALGEDI,24.00
VR,12368,CARPOSTOP,12.00
VR,12376,,120.00
VR,12376,FITAGIL,189.00
VR,12378,TRIANUM-G,11675.00
VR,12381,,841.00
VR,12381,NU-FILM-P,857.00
VR,12395,CUTRIL TOP,15.00
VR,12437,,3306.00
VR,12437,DELAN 70 WG,4538.00
VR,12452,,346.00
VR,12452,EQUIP,2272.00
VR,12453,,47.00
VR,12453,MILDICUT,617.00
VR,12482,,5660.00
VR,12482,LUMAX,14376.00
VR,12504,FLOWBRIX,111.00
VR,12514,,225.00
VR,12514,VIPER,110.00
VR,12515,,1.20
VR,12515,GIBRELIN TAB,17.59
VR,12522,METRO,108.00
VR,12528,,7.00
VR,12528,CABRIO TOP,4.00
VR,12529,,216.00
VR,12529,TUCANA 25 EC,630.00
VR,12534,,54.00
VR,12534,FOXTAIL,324.95
VR,12534,FOXTAIL PFnPE,14.50
VR,12538,,20.00
VR,12538,MYSTIC 25 WG,3.00
VR,12540,REGRAN EXTRA,844.00
VR,12548,XANILO 45 WG,752.00
VR,12566,,18.00
VR,12566,PYGANIC 14,186.00
VR,12568,,47.00
VR,12568,SPRINTEX NEW L,423.00
VR,12573,EKO OIL SPRAY,223.00
VR,12590,,1540.00
VR,12590,DIASTAR MAXI,1600.00
VR,12622,QUANTUM,35.50
VR,12625,EFUZIN 400 SC,60.00
VR,12628,,1.00
VR,12647,,243.00
VR,12647,GLITTER,113.00
VR,12669,BOVERAL,66.00
VR,12671,,20.60
VR,12671,HARMONY 50 SX,40.21
VR,12706,,1.50
VR,12706,PERMIT,7.35
VR,12722,,260.00
VR,12722,OSSICLOR 20 FLOW,1608.00
VR,12737,,800.00
VR,12737,AIRONE PIU',11821.00
VR,12748,,350.00
VR,12748,GRIFON PIU',6480.00
VR,12754,VERDRAM HI BIO,490.00
VR,12756,DICOTEX,308.00
VR,12759,,510.00
VR,12759,OSSICLOR 35 WG,678.50
VR,12761,AGRIMIX TOP,24.00
VR,12768,,144.00
VR,12768,SPINTOR FLY,266.00
VR,12768,SPINTOR FLY PFnPE,2.50
VR,12770,,9.00
VR,12770,ALAR 85 GOLD,1.00
VR,12779,RAMEDIT COMBI WG,17.00
VR,12785,CHECKMATE CM-XL,800.05
VR,12788,,8.00
VR,12792,,77.00
VR,12792,MAGIC TANDEM,712.00
VR,12806,,50.00
VR,12806,FEDOR,849.00
VR,12828,,474.00
VR,12828,SITOFEX,293.25
VR,12830,,0.00
VR,12831,INSIGNIA,36.00
VR,12833,,10.04
VR,12833,ISOMATE C/OFM,1300.25
VR,12834,,9.03
VR,12834,ISONET L PLUS,44.29
VR,12836,ISONET Z,0.05
VR,12840,SUCCESSOR 600,1800.00
VR,12843,CHECKMATE CM-F,12.56
VR,12844,CHECKMATE OFM-F,1.56
VR,12857,,227.00
VR,12857,PROREX,12.00
VR,12858,PRODIGY,13.00
VR,12859,,1.00
VR,12859,BORNEO,2.54
VR,12860,,7.00
VR,12860,MILBEKNOCK,359.00
VR,12862,,2085.00
VR,12862,CANTUS,1803.00
VR,12866,,7.00
VR,12866,COLLIS,36.00
VR,12868,,420.00
VR,12868,BELLIS,889.00
VR,12869,,444.00
VR,12869,SIGNUM,5292.00
VR,12878,,10682.00
VR,12878,FOLPAN GOLD,29302.00
VR,12883,,2509.00
VR,12883,PROSPER 300 CS,4149.00
VR,12886,,4223.00
VR,12886,KARATHANE STAR,5525.00
VR,12888,,1421.00
VR,12888,LEPINOX PLUS,648.00
VR,12904,,2.00
VR,12904,BRAITEX,10.00
VR,12916,,411.00
VR,12916,SACRON 45 W,280.00
VR,12924,JUPITER WG,2.00
VR,12933,,744.00
VR,12933,MOXYL 20 WP,71.00
VR,12940,,1028.50
VR,12940,KARATE ZEON 15,3958.00
VR,12949,,10800.00
VR,12949,AZUPEC 80 WG,260.00
VR,12960,,21.00
VR,12960,STARPROP,265.00
VR,12961,,151.00
VR,12961,HEREU,123.00
VR,12989,GIBB PLUS,3.00
VR,12994,,3.00
VR,12994,VIVER ELITE WG,761.00
VR,13012,,7272.00
VR,13012,FOLVIT 80 WDG,775.00
VR,13018,,8.00
VR,13018,GONDOR,203.00
VR,13020,,4.00
VR,13020,MICRORAM 35 WG,3370.00
VR,13042,MICRORAM 20 FLOW,40.00
VR,13061,,260.00
VR,13061,BIOBIT DF,1463.00
VR,13062,,40.00
VR,13062,DiPel DF,61.00
VR,13063,,33.40
VR,13063,REGULEX 10 SG,3.40
VR,13064,VITENE ULTRA SC,2706.00
VR,13065,DOMARK 125,373.80
VR,13068,NEORAM WG,630.00
VR,13076,,69.00
VR,13076,BRAITEX  PRO,600.00
VR,13084,,537.00
VR,13084,TELDOR PLUS,1903.00
VR,13084,TELDOR PLUS PFnPE,2.00
VR,13093,,1111.00
VR,13093,STOMP AQUA,4162.00
VR,13095,,296.00
VR,13095,DIRA-MAX LG,366.00
VR,13098,,20284.50
VR,13098,ROUNDUP POWER 20,12107.00
VR,13098,ROUNDUP POWER 20 PFnPE,9.00
VR,13104,ALGOR PLATIN,20.00
VR,13106,,695.00
VR,13106,IKANOS,43.00
VR,13108,CURAME BORDEAUX,215.00
VR,13116,,16.00
VR,13116,MEDOR 35 CLASS,345.00
VR,13120,,369.00
VR,13120,MYSTIC 430 SC,276.00
VR,13126,,1691.00
VR,13126,CABRIO DUO,4593.00
VR,13127,VALIS F,1809.00
VR,13149,,6820.00
VR,13149,POLTIGLIA MANICA 20 WG,343.50
VR,13149,POLTIGLIA MANICA 20 WG PFnPE,18.00
VR,13149,POLTIGLIA MANICA 20 WG PFnPE (vendu,8.00
VR,13150,CURAME 25 WG,270.00
VR,13152,,900.00
VR,13152,OPTIX R DISPERSS,1650.00
VR,13154,,285.00
VR,13154,MONDAK 480 S,368.00
VR,13156,CAMBEL 480 S,36.00
VR,13158,,382.00
VR,13158,REMEDIER,720.00
VR,13159,PRIMIAL,191.00
VR,13160,,202.00
VR,13160,FORUM TOP,175.00
VR,13168,,1595.00
VR,13168,LAUDIS,5612.00
VR,13205,ZOLFO MANICA SCORREVOLE DOPPIO RAFF,960.00
VR,13211,,700.00
VR,13211,ZOLFO VENTILATO SCORREVOLE 96%,6225.00
VR,13213,,192.00
VR,13213,R6 ERRESEI ALBIS,1723.00
VR,13218,,150.00
VR,13218,FINALSAN PLUS,4860.00
VR,13225,AGRIDIF 250,60.00
VR,13236,BULLET,519.00
VR,13242,,69.00
VR,13242,NICOGAN VO,737.00
VR,13244,,23700.00
VR,13244,ZOLFO VENTILATO STELLA,22125.00
VR,13249,,19325.00
VR,13249,ZOLFO VENTILATO STELLA RAMATO S,225.00
VR,13250,,700.00
VR,13250,ZOLFO VENTILATO STELLA RAMATO B,3950.00
VR,13252,,20.00
VR,13254,PLAYER 25 WG,75.00
VR,13255,PLAYER GR,84.00
VR,13263,BORDORAM 20 WG,3.50
VR,13285,,255.00
VR,13285,SEVERAL,758.00
VR,13290,,275.00
VR,13290,ZOLFO MANICA DOPPIO RAFFINATO VENTI,675.00
VR,13292,,41410.00
VR,13298,,355.00
VR,13311,DOMARK COMBI WG,875.00
VR,13313,,99.00
VR,13313,CASPER,176.00
VR,13323,SULFY 80 WDG PFnPE,1.60
VR,13327,,13.65
VR,13327,GRANSTAR ULTRA SX,41.87
VR,13329,OMNEX 10 EC,459.00
VR,13335,DUPLOSAN KV,3.00
VR,13367,,24.00
VR,13367,DIVO,103.75
VR,13377,COLUMBUS,117.00
VR,13378,ORTIVA TOP,24.00
VR,13382,,1206.00
VR,13382,PERGADO SC,3418.50
VR,13382,PERGADO SC PFnPE,33.00
VR,13386,,198.00
VR,13386,PROSARO,2048.00
VR,13387,,4.77
VR,13387,FLORAMIX,39.22
VR,13388,,12.65
VR,13389,,36999.00
VR,13389,AFFIRM,39375.00
VR,13391,,238.00
VR,13391,CYTHRIN 50 EC,1392.50
VR,13451,SPARVIERO,31.00
VR,13455,,257.00
VR,13455,ANTIGRAM GOLD,3406.00
VR,13466,,157.00
VR,13466,SPOTLIGHT PLUS,4733.00
VR,13471,,1.00
VR,13471,NICOZEA OD,1813.00
VR,13472,,135.00
VR,13472,ALIEN,434.00
VR,13485,,12569.00
VR,13485,FOLPEC 80 WG ADVANCE,8354.00
VR,13486,,27.00
VR,13486,JUDO,29.00
VR,13489,,602.00
VR,13489,CYMBAL,1238.50
VR,13505,CLIVIS DUO,25.00
VR,13518,,1600.00
VR,13540,,560.00
VR,13540,QUASAR R FLOW,100.00
VR,13552,,1840.50
VR,13552,ZOLVIS 80 SECTOR,8872.00
VR,13552,ZOLVIS 80 SECTOR PFnPE (venduto fin,1.00
VR,13560,,793.00
VR,13560,FORZA,1163.00
VR,13576,RAMEPLANT WG,6.50
VR,13578,RAME CAFFARO BLU WG NEW,1932.00
VR,13585,SOLOFOL,35.00
VR,13586,,6836.50
VR,13586,VERDERAME 20 WG,25.00
VR,13592,,529.00
VR,13592,VOLARE,2107.00
VR,13600,,26550.00
VR,13604,,13800.00
VR,13635,,400.00
VR,13635,POLTIGLIA 20 PB MANICA,3614.00
VR,13637,,81.00
VR,13637,PERGADO F,1908.00
VR,13648,SIARAM 20 WG,3.00
VR,13689,,74.00
VR,13689,FLINT MAX,30.50
VR,13693,BACILLUS CHEMIA,186.00
VR,13693,BACILLUS CHEMIA PFnPE,9.50
VR,13698,,425.75
VR,13698,VIVANDO,1801.50
VR,13701,,73.00
VR,13705,AMECTIN EC,89.00
VR,13711,,2733.00
VR,13714,,30.00
VR,13716,,390.00
VR,13716,CAPTAN ARVESTA 80 WG,348.00
VR,13736,TRACE,18.00
VR,13741,,639.00
VR,13741,SELECTA DISPERSS,743.00
VR,13753,,55.00
VR,13753,GAL-GONE,359.00
VR,13771,,2933.00
VR,13771,NIMROD 250 EW,3143.00
VR,13782,DOURO 10 WG,941.00
VR,13789,PRIMERO,412.00
VR,13792,,8.00
VR,13792,STABILAN,1282.00
VR,13796,CELL,112.00
VR,13809,,60760.00
VR,13809,FORCE ULTRA,101360.00
VR,13817,,10.00
VR,13823,,421.00
VR,13823,ALVERDE,571.00
VR,13838,,1.00
VR,13838,XEDAVIR,153.25
VR,13838,XEDAVIR PFnPE,3.75
VR,13841,,904.00
VR,13841,FOCUS ULTRA,7713.00
VR,13842,CHECKMATE OFM,0.43
VR,13856,COPRANTOL TRIO,130.00
VR,13885,,20.00
VR,13888,,3481.00
VR,13888,FANTIC F NC WG,4837.00
VR,13895,,6415.00
VR,13895,SAVIRAN STAR,2885.00
VR,13899,DAUPHIN 45,21.50
VR,13905,,1661.00
VR,13905,BANJO,5126.00
VR,13925,,65.50
VR,13925,BOGARD,2.00
VR,13926,SPONSOR,26.00
VR,13927,,3.00
VR,13927,ZAMIR 18,119.50
VR,13930,MARINS 200 CLASS,51.00
VR,13981,,234.20
VR,13981,CORAGEN,1387.80
VR,13983,,118.00
VR,13983,HUSSAR MAXX PRO,148.00
VR,13998,,228.00
VR,13998,PYRUS 400 SC,67.00
VR,14018,BASIC,1054.00
VR,14020,LIDAL,53.00
VR,14034,,740.00
VR,14044,,320.00
VR,14044,JOKER 480,89.00
VR,14058,,107.50
VR,14058,FEINZIN 70 DF,887.75
VR,14061,TRIANUM-P,2727.50
VR,14062,,4168.00
VR,14062,ZOXIUM 240 SC,3491.00
VR,14074,TRINEX 250 EW,24.00
VR,14100,,70.00
VR,14100,KANEMITE,151.00
VR,14101,,695.00
VR,14101,CARAMBA,722.00
VR,14102,,34500.00
VR,14102,BORDOFLOW NEW,23587.00
VR,14119,,801.00
VR,14119,VISIR PENCOTECH,174.00
VR,14122,KATAR,36.00
VR,14128,,1.00
VR,14128,ZIGNAL,10.00
VR,14135,GRENADIER 75 DF,12.07
VR,14136,,65.00
VR,14136,OBERON,116.50
VR,14137,,122.90
VR,14137,ALTACOR,457.70
VR,14154,PIRETRO ACTIGREEN,882.10
VR,14155,,610.00
VR,14155,GRIFON 280 LIQUIDO,40.00
VR,14156,CURZATE R WG,38.00
VR,14165,,3574.00
VR,14165,NANDO MAXI,7534.00
VR,14166,,408.00
VR,14166,ZETOR,462.00
VR,14169,,210.00
VR,14178,,2580.00
VR,14178,TRI-BASE,150.00
VR,14182,,530.00
VR,14182,ARES 25 WG,3072.00
VR,14193,,39.00
VR,14193,SARMOX 45 DG,133.50
VR,14195,,1596.00
VR,14204,75A,20.00
VR,14210,,1942.00
VR,14210,EVURE PRO,615.90
VR,14214,RAPSAN 500 SC,211.00
VR,14232,CYTHRIN MAX,13.50
VR,14245,,3.00
VR,14257,UNDERLINE 0.2 G,0.50
VR,14257,UNDERLINE 0.2 G PFnPE,7.50
VR,14262,,0.44
VR,14262,GREENEX NF,108.50
VR,14262,GREENEX NF PFnPE,0.36
VR,14294,,2.40
VR,14294,EXECUTIVE,2.30
VR,14323,,538.00
VR,14323,BELPROMEC,1074.00
VR,14336,,40.00
VR,14336,NEMATHORIN 150 EC,135.00
VR,14350,ZOLFO RAMATO 5,4775.00
VR,14375,,225.00
VR,14375,LION 5 EC,295.00
VR,14380,CLORMET,10.00
VR,14387,NERVURE SUPER,1.00
VR,14390,,760.00
VR,14390,BOOM EFEKT,17722.00
VR,14405,MERLIN FLEXX,4.00
VR,14406,,70.50
VR,14406,LEIMAY,235.00
VR,14407,,30.00
VR,14407,RUNWAY,29.50
VR,14409,,5745.00
VR,14409,MOVENTO 48 SC,6611.00
VR,14414,DUSTY,19.50
VR,14414,DUSTY PFnPE,2.50
VR,14418,PULSAR 40 SL,440.00
VR,14431,,478.00
VR,14431,LENTAGRAN 45 WP,586.00
VR,14432,METRIC,1.00
VR,14434,,0.44
VR,14479,,19270.00
VR,14479,SCHERMO 05 G,59001.00
VR,14523,CARPO 600,282.50
VR,14530,GOBBI GIB 4LG,24.00
VR,14533,GIBER GOBBI 20,4.10
VR,14540,,3.00
VR,14547,BAC MK,296.00
VR,14548,TURIBEL,1.00
VR,14549,LEPIBACK,273.00
VR,14559,,647.00
VR,14559,AGREE WG,700.00
VR,14577,,1215.00
VR,14577,FORUM R 3B,199.00
VR,14636,,5660.00
VR,14636,BIOLID UP,3752.00
